ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),City_name,pickup_time,order_time_of_day,Day,Month,Year,is_weekend,Distance
0x4607 ,INDORES13DEL02 ,37.0,4.9,22.745049,75.892471,22.765049,75.912471,2022-03-19,Sunny,high,2,snack,motorcycle,0,No ,urban,24,Indore,15,Morning,19,3,2022,1,3.0288529678245855
0xb379 ,BANGRES18DEL02 ,34.0,4.5,12.913041,77.683237,13.043041,77.813237,2022-03-25,Stormy,jam,2,snack,scooter,1,No ,metropolitian,33,Bangalore,5,Evening,25,3,2022,0,20.208240375780804
0x5d6d ,BANGRES19DEL01 ,23.0,4.4,12.914264,77.6784,12.924264,77.6884,2022-03-19,Sandstorms,low,0,drinks,motorcycle,1,No ,urban,26,Bangalore,15,Morning,19,3,2022,1,1.5546588367901353
0x7a6a ,COIMBRES13DEL02 ,38.0,4.7,11.003669,76.976494,11.053669,77.026494,2022-04-05,Sunny,medium,0,buffet,motorcycle,1,No ,metropolitian,21,Coimbatore,10,Evening,5,4,2022,0,7.7999391297138425
0x70a2 ,CHENRES12DEL01 ,32.0,4.6,12.972793,80.249982,13.012793,80.289982,2022-03-26,Cloudy,high,1,snack,scooter,1,No ,metropolitian,30,Chennai,15,Afternoon,26,3,2022,1,6.217741023183484
0x9bb4 ,HYDRES09DEL03 ,22.0,4.8,17.431668,78.408321,17.461668,78.438321,2022-03-11,Cloudy,jam,0,buffet,motorcycle,1,No ,urban,26,Hyderabad,10,Night,11,3,2022,0,4.616009604064937
0x95b4 ,RANCHIRES15DEL01 ,33.0,4.7,23.369746,85.33982,23.479746,85.44982,2022-03-04,Fog,jam,1,meal,scooter,1,No ,metropolitian,40,Ranchi,15,Evening,4,3,2022,0,16.620684910250468
0x9eb2 ,MYSRES15DEL02 ,35.0,4.6,12.352058,76.60665,12.482058,76.73665,2022-03-14,Cloudy,medium,2,meal,motorcycle,1,No ,metropolitian,32,Mysore,5,Evening,14,3,2022,0,20.229990478349432
0x1102 ,HYDRES05DEL02 ,22.0,4.8,17.433809,78.386744,17.563809,78.516744,2022-03-20,Stormy,jam,0,buffet,motorcycle,1,No ,metropolitian,34,Hyderabad,10,Night,20,3,2022,1,19.99997606741161
0xcdcd ,DEHRES17DEL01 ,36.0,4.2,30.327968,78.046106,30.397968,78.116106,2022-02-12,Fog,jam,2,snack,motorcycle,3,No ,metropolitian,46,Delhi,15,Night,12,2,2022,1,10.29316855626645
0xd987 ,KOCRES16DEL01 ,21.0,4.7,10.003064,76.307589,10.043064,76.347589,2022-02-13,Stormy,high,1,meal,motorcycle,1,No ,metropolitian,23,Kochi,10,Afternoon,13,2,2022,1,6.249961138646813
0x2784 ,PUNERES13DEL03 ,23.0,4.7,18.56245,73.916619,18.65245,74.006619,2022-03-04,Sandstorms,medium,1,drinks,scooter,1,No ,metropolitian,21,Pune,10,Evening,4,3,2022,0,13.80474068355749
0xc8b6 ,LUDHRES15DEL02 ,34.0,4.3,30.899584,75.809346,30.919584,75.829346,2022-02-13,Sandstorms,low,0,buffet,motorcycle,0,No ,metropolitian,20,Ludhiana,10,Morning,13,2,2022,1,2.9338453078331725
0xdb64 ,KNPRES14DEL02 ,24.0,4.7,26.463504,80.372929,26.593504,80.502929,2022-02-14,Fog,jam,1,snack,scooter,1,No ,metropolitian,41,Kanpur,15,Evening,14,2,2022,0,19.42036552362196
0x3af3 ,MUMRES15DEL03 ,29.0,4.5,19.176269,72.836721,19.266269,72.926721,2022-04-02,Sandstorms,jam,2,buffet,electric_scooter,1,No ,metropolitian,20,Mumbai,10,Night,2,4,2022,1,13.780828428776234
0x3aab ,MYSRES01DEL01 ,35.0,4.0,12.311072,76.654878,12.351072,76.694878,2022-03-01,Windy,high,1,meal,scooter,1,No ,metropolitian,33,Mysore,15,Afternoon,1,3,2022,0,6.225613875010915
0x689b ,PUNERES20DEL01 ,33.0,4.2,18.592718,73.773572,18.702718,73.883572,2022-03-16,Sandstorms,jam,2,snack,motorcycle,1,No ,metropolitian,40,Pune,10,Night,16,3,2022,0,16.870569258914877
0x6f67 ,HYDRES14DEL01 ,34.0,4.9,17.426228,78.407495,17.496228,78.477495,2022-03-20,Cloudy,jam,0,snack,motorcycle,,No ,metropolitian,41,Hyderabad,10,Night,20,3,2022,1,10.770278702337782
0xc9cf ,KOLRES15DEL03 ,21.0,4.7,22.552672,88.352885,22.582672,88.382885,2022-02-15,Windy,jam,0,meal,motorcycle,1,No ,urban,15,Kolkata,15,Night,15,2,2022,0,4.54613340225811
0x36b8 ,PUNERES19DEL02 ,25.0,4.1,18.563934,73.915367,18.643935,73.995367,2022-03-16,Sandstorms,jam,0,snack,motorcycle,2,No ,metropolitian,36,Pune,5,Night,16,3,2022,0,12.2710815304964
0x5795 ,RANCHIRES06DEL02 ,31.0,4.7,23.357804,85.325146,23.487804,85.455146,2022-03-10,Sandstorms,low,2,meal,electric_scooter,0,No ,metropolitian,26,Ranchi,15,Night,10,3,2022,0,19.642758524380252
0x6c6b ,COIMBRES13DEL01 ,37.0,5.0,11.003669,76.976494,11.013669,76.986494,2022-03-11,Sandstorms,low,1,snack,motorcycle,1,No ,metropolitian,20,Coimbatore,15,Morning,11,3,2022,0,1.5600398794991077
0xb816 ,CHENRES19DEL02 ,33.0,4.3,12.986047,80.218114,13.116047,80.348114,2022-03-27,Windy,jam,2,meal,scooter,1,No ,metropolitian,39,Chennai,15,Evening,27,3,2022,1,20.2053422171586
0x539b ,MUMRES02DEL01 ,25.0,4.0,19.221315,72.862381,19.261315,72.902381,2022-03-26,Cloudy,high,1,buffet,motorcycle,1,No ,metropolitian,34,Mumbai,5,Afternoon,26,3,2022,1,6.124460663361066
0xa1b2 ,CHENRES01DEL01 ,29.0,4.5,13.005801,80.250744,13.115801,80.360744,2022-03-27,Sunny,medium,2,meal,electric_scooter,1,No ,metropolitian,15,Chennai,15,Evening,27,3,2022,1,17.096500010345938
0x3231 ,JAPRES16DEL03 ,27.0,5.0,26.849596,75.800512,26.879596,75.830512,2022-04-05,Stormy,jam,0,snack,motorcycle,0,No ,urban,18,Jaipur,5,Night,5,4,2022,0,4.475759450003623
0x8bc0 ,SURRES15DEL03 ,35.0,4.3,21.160522,72.771477,21.250522,72.861477,2022-03-12,Cloudy,low,1,drinks,scooter,0,No ,metropolitian,38,Surat,10,Night,12,3,2022,1,13.698795420494957
